Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logA,e_logA,plx,Vmag,Notes,Source,RA,Dec
HD 224619,5454,60,0.84,0.06,4.49,0.05,-0.17,0.05,0.86,0.05,9.78,0.46,28.7,7.5,A1,Yee,359.8684666666666,-20.03471277777778
HD 22657,4792,60,4.91,0.68,3.11,0.05,0.07,0.05,1.14,0.2,9.86,0.26,7.8,7.8,A1,Yee,54.58527374999999,-11.201459166666666
HD 234314,5566,60,1.47,0.18,4.09,0.05,0.14,0.05,1.0,0.06,10.03,0.1,14.2,9.3,A1,Yee,248.13215416666665,50.18425
HD 23825,5588,60,2.48,0.3,3.74,0.05,0.14,0.05,1.33,0.13,9.62,0.13,9.1,7.9,A1,Yee,57.09140249999999,10.793061111111111
HD 238433,4936,60,4.91,0.73,3.13,0.05,-0.0,0.05,1.24,0.26,9.7,0.29,5.1,8.4,A1,Yee,228.40822041666664,57.191631666666666
HD 24238,4951,60,0.67,0.03,4.54,0.05,-0.45,0.05,0.69,0.03,9.96,0.48,47.8,7.8,A1,Yee,58.76601041666666,61.166806944444446
HD 24892,5341,60,1.63,0.17,3.96,0.05,-0.3,0.05,0.89,0.05,10.08,0.09,24.6,6.9,A1,Yee,59.11944833333333,-25.181341944444444
HD 26007,4778,60,6.5,0.97,2.81,0.05,-0.13,0.05,0.98,0.21,10.0,0.27,3.9,8.4,A1,Yee,61.547594166666656,-23.279815
HD 26161,6033,60,1.47,0.16,4.15,0.05,-0.01,0.05,1.14,0.06,9.72,0.1,24.7,6.9,A1,Yee,62.41189958333333,31.652132777777776
HD 26634,4902,60,4.99,0.64,3.03,0.05,-0.14,0.05,0.96,0.16,10.02,0.22,5.9,8.0,A1,Yee,63.04665416666666,-13.637175
HD 27496,5561,60,1.49,0.19,4.1,0.05,0.33,0.05,1.06,0.09,9.95,0.13,11.2,8.9,A1,Yee,65.18336249999999,8.408991666666667
HD 27859,6013,60,1.07,0.06,4.47,0.05,0.21,0.05,1.12,0.04,9.19,0.23,22.1,7.8,A1,Yee,66.11802875,16.886167222222223
HD 28005,5747,60,1.29,0.15,4.24,0.05,0.28,0.05,1.08,0.08,9.82,0.14,33.4,6.7,A1,Yee,66.85293416666666,46.85315361111111
